favorite_count,source,text,location,place,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter for Android,b'Number of people vaccinated against covid-19 more than double number of active\nhttps://t.co/6f6VjHMNFJ via NaMo App https://t.co/0cZGRa3jp0',"Hyderabad, India","Rajendra Nagar, India",,False,Wed Jan 20 05:24:53 +0000 2021,0,b'1351762600879558657'
5,Twitter for iPhone,b'Wonder makes us. @UAZScience @uazresearch @uarizona https://t.co/wPx51xarmP',,"Oro Valley, AZ",,False,Wed Jan 20 05:25:24 +0000 2021,0,b'1351762730882002944'
0,Twitter for iPhone,b'Es un desastre el @GobiernoMX de la #4t la criminalidad de @HLGatell y @lopezobrador_ no tiene l\xc3\xadmites https://t.co/6RYx85902T',Mexico DF,"Toronto, Ontario",,False,Wed Jan 20 05:26:50 +0000 2021,0,b'1351763092020076558'
0,Twitter for Android,b'Never forget Republicans and Fox Propaganda politicized Covid19. https://t.co/hg1xY8O7Fe',United States,"Tallahassee, FL",,False,Wed Jan 20 05:27:41 +0000 2021,0,b'1351763307317882890'
0,Twitter for Android,b'#\xe0\xb9\x82\xe0\xb8\x84\xe0\xb8\xa7\xe0\xb8\xb4\xe0\xb8\x9419 #COVID\xe3\x83\xbc19 #WhatsHappeninglnThailand\xc2\xa0 #WearAMask #SocialDistance \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f...\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f #WashYourHands https://t.co/z9RrlJU0vo',"Bang Phli Yai, Samut Prakan","Phraek Sa, Thailand",,False,Wed Jan 20 05:27:07 +0000 2021,0,b'1351763162454847489'
0,Twitter for iPad,b'#\xf0\x9f\x98\xb1 https://t.co/EZOcF50LfQ',,"Alhambra, CA",,False,Wed Jan 20 05:27:50 +0000 2021,0,b'1351763343355252737'
2,Twitter for Android,b'Hehehehehe https://t.co/skIFufKrt8',Ipoh & Etihad Stadium 🏟️ ,"Kuala Kurau, Perak",,False,Wed Jan 20 05:27:33 +0000 2021,0,b'1351763275088756736'
1,Twitter for Android,b'So abanemali sebezoya eDubai to get a covid vaccine \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/eaeXJ1vBb4',Durban ,"New Germany, South Africa",,False,Wed Jan 20 05:27:15 +0000 2021,0,b'1351763196626038785'
0,Twitter for iPhone,b'I will never not cry when I watch this https://t.co/Skm70agkOW',,"Pennsylvania, USA",,False,Wed Jan 20 05:27:43 +0000 2021,0,b'1351763315345788928'
12,Twitter for Android,b'SE\xc3\x91ORES LA LLEGADA DE LA VACUNA CONTRA EL COVID-19 ES UN HECHO TRASCENDENTAL\nDe esta forma Panam\xc3\xa1 se convierte en e\xe2\x80\xa6 https://t.co/f7CMS2DOxB',Panamá,Panama,,False,Wed Jan 20 05:27:36 +0000 2021,2,b'1351763286140841984'
0,Twitter for iPhone,b'@CHEK_News https://t.co/eVgDYfAURu',Canada,"Capital G, British Columbia",CHEK_News,False,Wed Jan 20 05:28:56 +0000 2021,0,b'1351763622318407681'
0,Twitter for iPhone,b'@ardmoma https://t.co/nJbmdoxD0C',irgendwo*irgendwann*irgendwie,"Hamburg, Germany",ardmoma,False,Wed Jan 20 05:28:47 +0000 2021,0,b'1351763581528895490'
1,Twitter for Android,b'How to make #coronavirus vaccine at home was a top trend on Google this week by Indians\nClam down people. It is cov\xe2\x80\xa6 https://t.co/lrqEW81Du7',Ranchi/Siwan India,"Ranchi, India",,False,Wed Jan 20 05:28:08 +0000 2021,0,b'1351763421566365696'
2,Twitter for iPhone,b'B.C. extending state of emergency due to COVID-19 https://t.co/zF6NagFXqV            Would it be too much to ask wh\xe2\x80\xa6 https://t.co/5x0O0ZXsU2',Canada,"Capital G, British Columbia",,False,Wed Jan 20 05:28:23 +0000 2021,0,b'1351763481402376197'
45,Twitter for Android,"b""You don't see this spot so empty very often... distinct lack of visitors in Tekapo today #COVID19 #roadtripNZ https://t.co/HJwRcLXtJi""",Kapiti Coast District,Church of the Good Shepherd,,False,Wed Jan 20 05:29:20 +0000 2021,0,b'1351763721903771649'
0,Twitter for iPhone,b'@PeteStauber Yep. You the common sense representative who voted against Covid19 relief and against our democracy. Fool.',"Carlton, MN","Cloquet, MN",PeteStauber,False,Wed Jan 20 05:30:12 +0000 2021,0,b'1351763937881161728'
0,Twitter for Android,b'@GobMichoacan @Silvano_A ATENCI\xc3\x93N @ONU_derechos @ONU_es @Declaracion @CIDH EXIJO fuerte demanda atacando los\xe2\x80\xa6 https://t.co/zp5u4sKqPQ',Pue - Mx,"Puebla, México",GobMichoacan,False,Wed Jan 20 05:30:26 +0000 2021,1,b'1351763999273209857'
1,Twitter for iPhone,b'\xf0\x9f\xa5\xba https://t.co/JqdvS2LOXO https://t.co/EdcITIxiZz',"Petaling, Selangor","Petaling, Selangor",,False,Wed Jan 20 05:30:06 +0000 2021,0,b'1351763915164717058'
1,Twitter for iPhone,b'#Florida now leads the United States in known cases of a mutated and likely more contagious strain of the\xe2\x80\xa6 https://t.co/11ugsVtyfM',"Tampa, FL","West Palm Beach, FL",,False,Wed Jan 20 05:31:19 +0000 2021,1,b'1351764220535300096'
0,Twitter for iPhone,b'Ireland suffers deadliest day in Covid-19 fight as 93 new deaths announced https://t.co/WALtGkp8yU',International,"Dublin City, Ireland",,False,Wed Jan 20 05:30:57 +0000 2021,0,b'1351764129879646208'
2,Twitter for iPad,"b'Stand: Mittwoch, 20. Januar 2021\n#COVID19 #Corona #Infektionen https://t.co/kEBdSGtOTy'",Schwerin • MV,"Schwerin, Germany",,False,Wed Jan 20 05:31:16 +0000 2021,0,b'1351764209541984256'
0,Twitter for iPhone,b'El gobierno de Castilla y Le\xc3\xb3n permite a UGT reunirse con 6 veces m\xc3\xa1s aforo de las que deja a una misa en una cated\xe2\x80\xa6 https://t.co/wlCYIkCnll',Coruña,"A Coruña, Spain",,False,Wed Jan 20 05:32:02 +0000 2021,0,b'1351764400299008001'
0,Twitter for Android,b'Maza\xc3\xa0aa\xc3\xa0aaaaaa https://t.co/En36Sjd7K5',,"Jos, Nigeria",,False,Wed Jan 20 05:31:59 +0000 2021,0,b'1351764387737038851'
0,Twitter for iPhone,b'It was pretty remarkable watching this moment in history happen live. https://t.co/LVyMnwd9AX',"Brooklyn, NY","Brooklyn, NY",,False,Wed Jan 20 05:32:14 +0000 2021,0,b'1351764450307616769'
0,Twitter for Android,b'Ahora que todos piden #VacunasCOVID19 #Vacunas #VacunaCOVID nosotros los dependientes de farmacia que surtimos rece\xe2\x80\xa6 https://t.co/rl1gFH9RN1',"Constitución de la República, ","Gustavo A. Madero, Distrito Federal",,False,Wed Jan 20 05:33:00 +0000 2021,0,b'1351764646122958848'
65,Twitter for iPhone,b'You want to trust the same ANC Government to distribute life saving vaccines that could NOT distribute food parcels\xe2\x80\xa6 https://t.co/EYdKWBMGVD',Cape Town,"Cape Town, South Africa",,False,Wed Jan 20 05:33:18 +0000 2021,41,b'1351764719384801280'
0,Twitter for Android,b'Toma chango tu bolillo https://t.co/hlX5Rn8XBe',"Guanajuato, México","Joquicingo, México",,False,Wed Jan 20 05:34:40 +0000 2021,0,b'1351765065855361024'
0,Twitter for Android,b'@w_terrence A recruiting agency is currently looking for 5 Males and 10 females to work as an Online Customer Servi\xe2\x80\xa6 https://t.co/7KlcDyAjkT',,"Ikeja, Nigeria",w_terrence,False,Wed Jan 20 05:35:42 +0000 2021,0,b'1351765322223779845'
0,Twitter for Android,"b'@julioastillero @lopezobrador_ Deber\xc3\xa1s creo que el coronavirus te afect\xc3\xb3, qu\xc3\xa9 forma tan simplista de analizar por d\xe2\x80\xa6 https://t.co/CVicH6884K'",,"Zapopan, Jalisco",julioastillero,False,Wed Jan 20 05:35:43 +0000 2021,0,b'1351765329236668416'
1,Twitter for Android,b'Number of people vaccinated against covid-19 more than double number of active\nhttps://t.co/JybdEgW9nu via NaMo App https://t.co/n8yDs5DfQZ',,"New Delhi, India",,False,Wed Jan 20 05:35:26 +0000 2021,1,b'1351765256029159427'
2,Twitter for Android,b'@MarioGallegosH https://t.co/V51iQFKgBn Es as\xc3\xad Mario. C\xc3\xb3mo ves el escenario para comprar ?',"Montréal, Québec","Montréal, Québec",MarioGallegosH,False,Wed Jan 20 05:36:30 +0000 2021,0,b'1351765525974683650'
1,Twitter for Android,b'Capitalism in The Time of Coronavirus https://t.co/Vgv1IWvfUj',Turtle Island,"Queens, NY",,False,Wed Jan 20 05:36:42 +0000 2021,0,b'1351765576461524994'
5,Twitter for iPhone,b'hamungategi kutora zvimoko Pastor neDrip iyi \xf0\x9f\x98\x86\xf0\x9f\x98\x86\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x91\x8f\xf0\x9f\x8f\xbf https://t.co/i48l6JVAxJ',"Rosebank, Cape Town","Yeonsu-gu, Republic of Korea",,False,Wed Jan 20 05:36:38 +0000 2021,0,b'1351765557159231488'
0,Twitter for Android,b'@B52Malmet A recruiting agency is currently looking for 5 Males and 10 females to work as an Online Customer Servic\xe2\x80\xa6 https://t.co/J2cmxAx5rw',,"Ikeja, Nigeria",B52Malmet,False,Wed Jan 20 05:36:16 +0000 2021,0,b'1351765466524561408'
10,Twitter for iPhone,b'Very glad the SMCISD school board is able to continue to support our essential school workers and the support they\xe2\x80\xa6 https://t.co/K6uRB6ZdUh',SMTX,"San Marcos, TX",,False,Wed Jan 20 05:37:02 +0000 2021,0,b'1351765658837639168'
330,Twitter for iPhone,"b'\xf0\x9f\x94\xb4\xe2\x9a\xaa\xef\xb8\x8f\n\nGRAN Noticia para Chivas, regresa el hombre gol!\n\n@JJMacias9 super\xc3\xb3 el Covid19.\n\nPodr\xc3\xada viajar a San Luis y es\xe2\x80\xa6 https://t.co/4OOaXWvYU7'","Guadalajara, Jalisco","Guadalajara, Jalisco",,False,Wed Jan 20 05:37:29 +0000 2021,15,b'1351765772394106880'
