created_at,text,clean-text,location,place
Sat Nov 13 17:01:23 +0000 2021,b'@JudgeClayJ If you cared about Dallas County you would retire and go back to chasing ambulances and looking for sli\xe2\x80\xa6 https://t.co/ohg26d0gGQ',if you cared about dallas county you would retire and go back to chasing ambulances and looking for sli,Dallas County Texas,"Texas, USA"
Sat Nov 13 17:01:33 +0000 2021,"b'Unvaccinated Texans make up vast majority of COVID-19 cases and deaths this year, new state data shows https://t.co/R2EmOIP8VT'",unvaccinated texans make up vast majority of covid 19 cases and deaths this year new state data shows,Canada,"Yellowhead County, Alberta"
Sat Nov 13 17:02:16 +0000 2021,b'Annnd Ont Covid cases riseabove 600 today!Coincidence? I think not!unvaxxed kids in schools and day cares...governm\xe2\x80\xa6 https://t.co/TzP23OxSWt',annnd ont covid cases riseabove 600 today coincidence i think not unvaxxed kids in schools and day cares governm,The BEACH inToronto,"Toronto, Ontario"
Sat Nov 13 17:06:02 +0000 2021,"b'I\xe2\x80\x99ve had three full doses not just two and a booster, but three full doses. I\xe2\x80\x99m also immunocompromised, so \xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd\xf0\x9f\xa4\x9e\xf0\x9f\x8f\xbd\xe2\x80\xa6 https://t.co/U5kxJVaYhH'",i ve had three full doses not just two and a booster but three full doses i m also immunocompromised so,"Hocketown West, High 5 State","Dorr, MI"
Sat Nov 13 17:05:39 +0000 2021,b'Borax and baking soda? You\xe2\x80\x99re getting a vaccine not doing a load of fucking laundry. Knock it off! \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/PRLJuBLchs',borax and baking soda you re getting a vaccine not doing a load of fucking laundry knock it off,"Silver Spring, MD","Silver Spring, MD"
Sat Nov 13 17:07:45 +0000 2021,b'When is the @nzherald going to run an article about how John Key was wrong about covid19 and NZ response? https://t.co/dbUQvRQlnk',when is the going to run an article about how john key was wrong about covid19 and nz response,"Auckland, New Zealand","Auckland, New Zealand"
Sat Nov 13 17:08:56 +0000 2021,b'Science is awesome https://t.co/ySDkDdsp22',science is awesome,,"Kansas City, MO"
Sat Nov 13 17:11:08 +0000 2021,b'Kansas Republican leaders condemn comparisons of COVID-19 mandates and Holocaust https://t.co/tNuRbaF0yB',kansas republican leaders condemn comparisons of covid 19 mandates and holocaust,Canada,"Yellowhead County, Alberta"
Sat Nov 13 17:13:48 +0000 2021,b'Remember this https://t.co/l9RkfM024m',remember this,"New Orleans, LA","Islamorada, FL"
Sat Nov 13 17:15:17 +0000 2021,"b'@bickley200 @dr_musgrave Masks do decrease the risk of transmission. \nWith COVID19, often people are infectious bef\xe2\x80\xa6 https://t.co/rn13UzsFt3'",masks do decrease the risk of transmission with covid19 often people are infectious bef,Cambridge,"Cambridge, England"
Sat Nov 13 17:16:35 +0000 2021,b'\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbd#NFL Justice for @Kaepernick7 https://t.co/7mVy4fqZzS',justice for,"West Des Moines, IA","West Des Moines, IA"
Sat Nov 13 17:16:22 +0000 2021,b'People have spoken and they don\xe2\x80\x99t want to show proof of vaccination. https://t.co/esXGJK4IdA',people have spoken and they don t want to show proof of vaccination,Biggest Little City,"Reno, NV"
Sat Nov 13 17:18:11 +0000 2021,b'\xf0\x9f\x92\x94\xf0\x9f\x98\xadthread https://t.co/EDzAKVs3kR',thread,"San Francisco, CA","San Francisco, CA"
Sat Nov 13 17:18:13 +0000 2021,b'The biggest problem here is that folks don\xe2\x80\x99t understand those shifting dynamics. They were told (2) shots and you\xe2\x80\x99r\xe2\x80\xa6 https://t.co/4Dn2eOCCJz',the biggest problem here is that folks don t understand those shifting dynamics they were told 2 shots and you r,"Los Angeles, CA","Los Angeles, CA"
Sat Nov 13 17:18:32 +0000 2021,b'My COVID king is back \xf0\x9f\x98\x8d https://t.co/gYvTsO55pu',my covid king is back,,"San Francisco, CA"
Sat Nov 13 17:18:25 +0000 2021,b'I think that Covid-19 got to Tony Elliott\xe2\x80\x99s head awhile back. Those play calls got me scratching my head.',i think that covid 19 got to tony elliott s head awhile back those play calls got me scratching my head,"Seneca, SC","South Carolina, USA"
Sat Nov 13 17:17:43 +0000 2021,b'In our latest Wear The Gown with @UnivHealthSA we find out from Dr. Solis-Herrera that if you get the coronavirus y\xe2\x80\xa6 https://t.co/86hPjembJK',in our latest wear the gown with we find out from dr solis herrera that if you get the coronavirus y,"San Antonio, TX","San Antonio, TX"
Sat Nov 13 17:20:21 +0000 2021,b'Feel Proud. \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/NZ3ZgSFMom',feel proud,"Kolkata, India","Kolkata, India"
Sat Nov 13 17:21:32 +0000 2021,b'More national coverage of the fallout from @govstitt\xe2\x80\x99s abrupt firing of the head of the @OKGuard and the new leader\xe2\x80\xa6 https://t.co/7D1H8pwzV8',more national coverage of the fallout from s abrupt firing of the head of the and the new leader,"Tulsa, OK, by way of NY/NJ","Grapevine, TX"
Sat Nov 13 17:24:45 +0000 2021,b'The man is back in town https://t.co/pyAYcMuhpL',the man is back in town,"Minster, OH","Columbus, OH"
Sat Nov 13 17:24:37 +0000 2021,"b""@KimRuxton @DrEricDing @vaccinemakers @ChildrensPhila Who would've KNOWN=The offices set up by @BarackObama oversea\xe2\x80\xa6 https://t.co/uUhBV4JNo4""",who wouldve known the offices set up by oversea,Rutland VT.,"Rutland, VT"
Sat Nov 13 17:23:20 +0000 2021,b'This is a fantastic video showing how COVID-19 vaccines work. For sure will be sharing this with my team 1st thing\xe2\x80\xa6 https://t.co/QFLlIiUtXw',this is a fantastic video showing how covid 19 vaccines work for sure will be sharing this with my team 1st thing,"Reno, NV","Reno, NV"
Sat Nov 13 17:25:01 +0000 2021,"b'Soon in #Katara on the occasion of the #International_Childrens_Day #GoBlue, the 2nd edition of the\xe2\x80\xa6 https://t.co/SYM6osEfjf'",soon in on the occasion of the the 2nd edition of the,"Doha, Qatar","Doha, Qatar"
Sat Nov 13 17:29:32 +0000 2021,b'@AdamSchefter @NFL needs to suspend him for the #Covid19 false statements for at least a game to set an example\xe2\x80\xa6Ith\xe2\x80\xa6 https://t.co/WPHYTLvjq7',needs to suspend him for the false statements for at least a game to set an example ith,"California, USA","Chino, CA"
Sat Nov 13 17:32:04 +0000 2021,b'Latest from Beijing #China : No one with a history of travel to any area with more than 1 infection #COVID19 in the\xe2\x80\xa6 https://t.co/eA1soNi5dn',latest from beijing no one with a history of travel to any area with more than 1 infection in the,République populaire de Chine,"Beijing, People's Republic of China"
Sat Nov 13 17:32:21 +0000 2021,"b'\xe2\x80\x9cEvery day, there are six times more boosters administered globally than primary doses in low-income countries,\xe2\x80\x9d\xe2\x80\xa6 https://t.co/rXa6n41dl7'",every day there are six times more boosters administered globally than primary doses in low income countries,Norway,"Oslo, Norway"
Sat Nov 13 17:32:45 +0000 2021,b'Pretty disgusting stuff https://t.co/IHbMAZVSqI',pretty disgusting stuff,"Kolkata, India","Kolkata, India"
Sat Nov 13 17:31:30 +0000 2021,b'Maxence Guenette ex-@Chevaliersaaa \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa https://t.co/Jr3Jcxn0we',maxence guenette ex,"Québec, Canada","Québec, Canada"
Sat Nov 13 17:33:46 +0000 2021,b'And the evidence upon its approaching in the news of the Great Quran is that Coronavirus shall invade the world fro\xe2\x80\xa6 https://t.co/iyvWHzkIDU',and the evidence upon its approaching in the news of the great quran is that coronavirus shall invade the world fro,,Yemen
Sat Nov 13 17:33:49 +0000 2021,b'This cool video by @vaccinemakers is helpful in understanding how #COVID19 vaccine works. https://t.co/J56lsEIzzF',this cool video by is helpful in understanding how vaccine works,"Oak Cliff, TX","Dallas, TX"
Sat Nov 13 17:35:21 +0000 2021,b'Congratulations and well done to all involved. Great to see you get the deserved recognition for all your hard work. https://t.co/Ndsrjv7xNC',congratulations and well done to all involved great to see you get the deserved recognition for all your hard work,"Cork, Ireland","Cork, Ireland"
Sat Nov 13 17:36:55 +0000 2021,b'Walk-ins are available at MLK Middle School for vaccinations today for children 5-11. Come now until 3 p.m.\xe2\x80\xa6 https://t.co/MhYOUrQBY6',walk ins are available at mlk middle school for vaccinations today for children 5 11 come now until 3 p m,"Richmond, VA","Richmond, VA"
Sat Nov 13 17:36:18 +0000 2021,"b'Oh as it also prevented and treated #COVID19 !! \n\nWhy do we needs scientists / economists and education after all ,\xe2\x80\xa6 https://t.co/COA6jH7iM2'",oh as it also prevented and treated why do we needs scientists economists and education after all,"Hyderabad, India","Hyderabad, India"
Sat Nov 13 17:38:16 +0000 2021,b'Obvio https://t.co/wBvnomOsQj',obvio,"Los Angeles, CA","Rosario, Argentina"
Sat Nov 13 17:38:09 +0000 2021,b'ICYMI people with the vaccine can still get the virus - it was never \xf0\x9f\x92\xaf- but they seem to get milder symptoms. https://t.co/whACPhw85Q',icymi people with the vaccine can still get the virus it was never but they seem to get milder symptoms,"Montrose, Colorado","Colorado, USA"
Sat Nov 13 17:39:34 +0000 2021,b'12th Nov Summary #Bengaluru #COVID19 as per @BBMPCOMM\n\nTests \xe2\xac\x87\xef\xb8\x8f to 40.3K \xf0\x9f\x98\x94\nDaily Positives \xe2\xac\x87\xef\xb8\x8f to 147 \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\nDeaths \xe2\xac\x87\xef\xb8\x8f t\xe2\x80\xa6 https://t.co/qGy5a0gGn4',12th nov summary as per tests to 40 3k daily positives to 147 deaths t,"Bengaluru, India","Bengaluru, India"
Sat Nov 13 17:40:20 +0000 2021,"b""Covid-19 test number ??? Seriously folks, get a mask.  I'm mobile, other immunocompromised folks aren't. Kinda tired of qTips up my nose.""",covid 19 test number seriously folks get a mask im mobile other immunocompromised folks arent kinda tired of qtips up my nose,Earth,"Mentor, OH"
Sat Nov 13 17:38:58 +0000 2021,b'A useful and informative text on Covid-19 at home. https://t.co/vYCPJ9MdXY',a useful and informative text on covid 19 at home,Essex,"Bradford, England"
Sat Nov 13 17:39:22 +0000 2021,b'More nannites injected into my body that will travel to my brain and make me subservient.  \n\nYeah right.....\xe2\x80\xa6 https://t.co/ugsGu0UUyo',more nannites injected into my body that will travel to my brain and make me subservient yeah right,Milton Keynes,"Milton Keynes, England"
Sat Nov 13 17:42:03 +0000 2021,b'@lavern_spicer Well - in my personal experience - I teach high school have 200 kids a day in my classroom - have ha\xe2\x80\xa6 https://t.co/9CBFno0GDl',well in my personal experience i teach high school have 200 kids a day in my classroom have ha,"Tampa, FL","Tampa, FL"
Sat Nov 13 17:42:00 +0000 2021,"b'If we\xe2\x80\x99re to have any chance of keeping 1.5 alive &amp; preventing the next zoonotic pandemic we need bold, brave, innov\xe2\x80\xa6 https://t.co/1nAha1NYIN'",if we re to have any chance of keeping 1 5 alive amp preventing the next zoonotic pandemic we need bold brave innov,"London, England","Poplar, London"
Sat Nov 13 17:40:35 +0000 2021,b'What is the difference between Coronavirus and pneumonia? https://t.co/ymXxKPYT5l',what is the difference between coronavirus and pneumonia,,"Pietermaritzburg, South Africa"
Sat Nov 13 17:41:23 +0000 2021,b'1800 new cases today. Most on a Saturday since January &amp; in top 5 of all single day rates this year. Hope hospitali\xe2\x80\xa6 https://t.co/ZdtXZLtvR8',1800 new cases today most on a saturday since january amp in top 5 of all single day rates this year hope hospitali,Belfast-Genes via Clare/Galway,"Belfast, Northern Ireland"
Sat Nov 13 17:44:18 +0000 2021,b'The annual awards are always emotional. @lindabtweeting (of @CorkLabour) and the #bettermaternitycare campaign acce\xe2\x80\xa6 https://t.co/4XNkNcUNeh',the annual awards are always emotional of and the campaign acce,"Galway, Ireland",The Mansion House
Sat Nov 13 17:43:51 +0000 2021,b'And the evidence upon its approaching in the news of the Great Quran is that Coronavirus shall invade the world fro\xe2\x80\xa6 https://t.co/WiyLyYzq2y',and the evidence upon its approaching in the news of the great quran is that coronavirus shall invade the world fro,دولة قطر,Yemen
Sat Nov 13 17:44:29 +0000 2021,b'@HamnesLi @MZHemingway Could be the unvacinated has full immunity from actually surviving Covid-19 and now has full\xe2\x80\xa6 https://t.co/DoMdLBMCqU',could be the unvacinated has full immunity from actually surviving covid 19 and now has full,"Evansville, IN","Evansville, IN"
Sat Nov 13 17:44:54 +0000 2021,b'@handyman_neil @ElSenala @EUtopean @EstherMaile @paulmarkfry @hrw As I have said before #History &amp; #Time will decid\xe2\x80\xa6 https://t.co/MvyoqJOvc7',as i have said before amp will decid,"North West, England","Neston, England"
Sat Nov 13 17:46:53 +0000 2021,"b'#Bridge2HealthNM is honored to be here in Las Cruces at our Health &amp; Wellness Fair providing FREE wellness testing,\xe2\x80\xa6 https://t.co/MLZtgcg2Hq'",is honored to be here in las cruces at our health amp wellness fair providing free wellness testing,New Mexico,"Las Cruces, NM"
Sat Nov 13 17:47:19 +0000 2021,"b""#lockdown #Scenery200M SO IT'S JIM MACNEILL THE ANTICHRIST WHO IS THE ONE BEHIND EVERY BAD THING ALL BAD THINGS ARE\xe2\x80\xa6 https://t.co/b7KQTeIKw9""",so its jim macneill the antichrist who is the one behind every bad thing all bad things are,,"Cupar, Scotland"
Sat Nov 13 17:46:31 +0000 2021,b'Thank you God for this knowledge upon your people. #COVID19 https://t.co/otssYHcp2n',thank you god for this knowledge upon your people,Nairobi,"Nairobi, Kenya"
Sat Nov 13 17:46:25 +0000 2021,b'Let\xe2\x80\x99s go New York. It\xe2\x80\x99s time.\n\nhttps://t.co/4a5UlIDh9A',let s go new york it s time,"New York, USA","Manhattan, NY"
Sat Nov 13 17:49:19 +0000 2021,"b""It's endemic... https://t.co/2yqYunNmcf""",its endemic,"Bella Vista, AR","Bella Vista, AR"
Sat Nov 13 17:49:09 +0000 2021,"b'Arden House Center - Genesis Hea... introduced universal COVID-19 vaccinations for all employees, care partners and\xe2\x80\xa6 https://t.co/2DAdIsY33H'",arden house center genesis hea introduced universal covid 19 vaccinations for all employees care partners and,Connecticut,"Hamden, CT"
Sat Nov 13 17:51:40 +0000 2021,"b'At Waggoner High School for the @JCPSKY clinics to get a COVID-19 vaccine for my son. Unfortunately, there are no d\xe2\x80\xa6 https://t.co/TUa2rZluCY'",at waggoner high school for the clinics to get a covid 19 vaccine for my son unfortunately there are no d,"Louisville, Ky.","St Matthews, KY"
Sat Nov 13 17:51:57 +0000 2021,b'Study shows dramatic decline in effectiveness of all three COVID-19 vacc... https://t.co/rDnjdMg90f \xe4\xbe\x86\xe8\x87\xaa @YouTube',study shows dramatic decline in effectiveness of all three covid 19 vacc,,"Vernon, France"
Sat Nov 13 17:52:10 +0000 2021,"b""#COVID19Vaccination \n\nNearly 80 percent of India's eligible population administered first dose of Covid-19 vaccine\xe2\x80\xa6 https://t.co/J3cpgxvhPE""",nearly 80 percent of indias eligible population administered first dose of covid 19 vaccine,New Delhi (India),"New Delhi, India"
Sat Nov 13 17:52:24 +0000 2021,b'Only WV has a lower rate of boosters than NY. https://t.co/gVz5mtht7E (h/t @EricTopol) https://t.co/5OaT7IoAjc',only wv has a lower rate of boosters than ny h t,"Manhattan, NY","Manhattan, NY"
Sat Nov 13 17:54:32 +0000 2021,b'What the fuck?!? Wear a mask for a photo but then take it off? Masks Don\xe2\x80\x99t Work and are Virtue Signaling! #COVID19\xe2\x80\xa6 https://t.co/dy4hLUbkWn',what the fuck wear a mask for a photo but then take it off masks don t work and are virtue signaling,"Aubrey, TX","Paloma Creek, TX"
Sat Nov 13 17:54:06 +0000 2021,b'The battle of Peloton vs Crocs. lol https://t.co/cw3JFmR0mO',the battle of peloton vs crocs lol,"Jacksonville Beach, FL","Florida, USA"
Sat Nov 13 17:55:34 +0000 2021,"b'Thank you for hoghtlightibg this @FergalBowers . Respectf for the individual, every death is a death.\nThere is an u\xe2\x80\xa6 https://t.co/TvqA6icFmD'",thank you for hoghtlightibg this respectf for the individual every death is a death there is an u,,"Kildare, Ireland"
Sat Nov 13 17:57:12 +0000 2021,b'@sunnybrook why are women being prescribed Premarin as part of their cancer treatment and its been out of stock for\xe2\x80\xa6 https://t.co/cMoRlU8xxI',why are women being prescribed premarin as part of their cancer treatment and its been out of stock for,"Brechin, Ontario, Canada","Ramara, Ontario"
Sat Nov 13 17:55:42 +0000 2021,b'Check https://t.co/7CFo6bT3nz',check,Nederland Valkenburg ,"Uden, Nederland"
Sat Nov 13 17:56:25 +0000 2021,"b'J&amp;K Reports 181 Fresh Covid-19 Cases, No Death https://t.co/kwHBMFQvkU'",j amp k reports 181 fresh covid 19 cases no death,Jammu And Kashmir,"Baramula, Jammu & Kashmir, India"
Sat Nov 13 17:56:56 +0000 2021,b'Finally. https://t.co/4Vp4SSHClP',finally,"Edmonton, AB, Treaty 6","Edmonton, Alberta"
Sat Nov 13 17:59:08 +0000 2021,b'So happy to see so many kids getting their Covid-19 vax.  Booster finally done!',so happy to see so many kids getting their covid 19 vax booster finally done,"West Des Moines, IA","Urbandale, IA"
Sat Nov 13 17:57:44 +0000 2021,"b'Anyone they tell us to take I dey take am go. Flu jab the other day, third Covid jab today. \n#CovidVaccineBooster\xe2\x80\xa6 https://t.co/M6StUg4Sge'",anyone they tell us to take i dey take am go flu jab the other day third covid jab today,Lagos and London,Mildmay Working Mens Club
Sat Nov 13 17:59:22 +0000 2021,b'After getting my Pfizer booster last night. Nice to see what is happening in my body. https://t.co/u2vHoypYDx',after getting my pfizer booster last night nice to see what is happening in my body,"Carmel, Indiana","Carmel, IN"
Sat Nov 13 18:02:59 +0000 2021,b'DeSantis has played so many games with Florida Covid numbers I don\xe2\x80\x99t think anyone really knows what is right. All I\xe2\x80\xa6 https://t.co/qfQNN3pNyH',desantis has played so many games with florida covid numbers i don t think anyone really knows what is right all i,"Florida, USA","Clearwater, FL"
Sat Nov 13 18:06:14 +0000 2021,b'Good. https://t.co/GXaHKnuQjK',good,Los Angeles,"Los Angeles, CA"
Sat Nov 13 18:07:32 +0000 2021,b'Thanks @katymcguinness for the opportunity to talk about this. Majority are very happy that we are following the ru\xe2\x80\xa6 https://t.co/HaRLME4ZcM',thanks for the opportunity to talk about this majority are very happy that we are following the ru,"Dublin City, Ireland","Dun Laoghaire-Rathdown, Ireland"
Sat Nov 13 18:07:44 +0000 2021,b'@setiriver @realDailyWire @RevShark How to do explain Mayorkas and Psaki both apart of the White House Administrati\xe2\x80\xa6 https://t.co/rgAURoQK08',how to do explain mayorkas and psaki both apart of the white house administrati,,"San Jose, CA"
Sat Nov 13 18:09:11 +0000 2021,b'COVID-19 booster shot \xe2\x9c\x85 \n\nGo to https://t.co/oDqYgnzVdF to register to get yours. #ProtectThePack \xf0\x9f\x90\xba\xf0\x9f\x92\x89 https://t.co/oly2XKJMDk',covid 19 booster shot go to to register to get yours,Albuquerque,"Albuquerque, NM"
Sat Nov 13 18:09:42 +0000 2021,b'Excellent video showing the way the #vaccine trains our immune system to fight #COVID19 https://t.co/mikhU6Nf2Z',excellent video showing the way the trains our immune system to fight,Lebanon,Lebanon
Sat Nov 13 18:08:40 +0000 2021,"b'#Covid19 #10DaysIsolation - 8 days left...  #NHS #111 \nFeels like ive been hit by a train.... joints ache, head pou\xe2\x80\xa6 https://t.co/fBBa68Ot1y'",8 days left feels like ive been hit by a train joints ache head pou,SE London,"Crayford, London"
Sat Nov 13 18:10:27 +0000 2021,b'@ballardsigns @RepThomasMassie Still hard at work confirming my point? \nBut why are you fixating on a non-issue? In\xe2\x80\xa6 https://t.co/2qzJO2gUIu',still hard at work confirming my point but why are you fixating on a non issue in,"Barnstable Town, MA","West Yarmouth, MA"
Sat Nov 13 18:12:21 +0000 2021,b'\xf0\x9f\x91\x87 BIG news. Make plans to receive your COVID-19 booster this weekend so you and yours will be better protected this\xe2\x80\xa6 https://t.co/WyWci1ENJc',big news make plans to receive your covid 19 booster this weekend so you and yours will be better protected this,San Francisco,"Oakland, CA"
Sat Nov 13 18:16:18 +0000 2021,b'This absolutely fascinating video shows how the #COVID19 mRNA vaccine works. Please watch and share with your frien\xe2\x80\xa6 https://t.co/K1dXH6wTsR',this absolutely fascinating video shows how the mrna vaccine works please watch and share with your frien,"Manhattan, NY","Manhattan, NY"
Sat Nov 13 18:16:18 +0000 2021,b'People are starting to reach out to me after a year. I\xe2\x80\x99m at a whole different place now. I doubled down during Covi\xe2\x80\xa6 https://t.co/X1VhnveV11',people are starting to reach out to me after a year i m at a whole different place now i doubled down during covi,Miami,"Miami, FL"
Sat Nov 13 18:18:50 +0000 2021,b'I was muchly looking forward to going to @MyICCLondon tomorrow to see the @merrydance documentary about the making\xe2\x80\xa6 https://t.co/mQOwhqNBqB',i was muchly looking forward to going to tomorrow to see the documentary about the making,Warrenpoint / Islington,"Islington, London"
Sat Nov 13 18:17:47 +0000 2021,"b'""New COVID rules for indoor venues on the way, governor says"". \n\nWhat\'s taking so long @GovofCO? Announce them now!\xe2\x80\xa6 https://t.co/FOXNv1Ylga'",new covid rules for indoor venues on the way governor says whats taking so long announce them now,United States,"Colorado, USA"
Sat Nov 13 18:20:08 +0000 2021,b'Dani Alves sends message to Barcelona fans after sealing return #coronavirus #NowWeAreBreakingUp https://t.co/jQeyOellev',dani alves sends message to barcelona fans after sealing return,,Kazakhstan
Sat Nov 13 18:19:00 +0000 2021,"b""So, now that we're finally admitting what we knew, that covid is airborne can we start doing something with it?\n\nAl\xe2\x80\xa6 https://t.co/VYpLj7sjz9""",so now that were finally admitting what we knew that covid is airborne can we start doing something with it al,"Regina, Saskatchewan","Regina, Saskatchewan"
Sat Nov 13 18:19:10 +0000 2021,b'Dani Alves sends message to Barcelona fans after sealing return #coronavirus #NowWeAreBreakingUp https://t.co/jQeyOellev',dani alves sends message to barcelona fans after sealing return,,Kazakhstan
Sat Nov 13 18:19:12 +0000 2021,b'Geezus will we ever get this under control? https://t.co/W0RH3DVCPa',geezus will we ever get this under control,"Langley, British Columbia","Greater Vancouver, British Columbia"
Sat Nov 13 18:19:49 +0000 2021,b'Dani Alves sends message to Barcelona fans after sealing return #coronavirus #NowWeAreBreakingUp https://t.co/jQeyOellev',dani alves sends message to barcelona fans after sealing return,,Kazakhstan
Sat Nov 13 18:19:27 +0000 2021,b'It\xe2\x80\x99s almost like as the largest unvaccinated group left the kids have the highest likelihood of contracting Covid. https://t.co/KyH7JgncEE',it s almost like as the largest unvaccinated group left the kids have the highest likelihood of contracting covid,Where The Wine Tweets Are,"Burnaby, British Columbia"
Sat Nov 13 18:22:16 +0000 2021,"b'Follow @COVID -19 appropriate behaviour i.e. SMS(Social Distancing,Wearing Masks,Sanitising hands) as Covid-19 case\xe2\x80\xa6 https://t.co/ytqdYnr3mp'",follow 19 appropriate behaviour i e sms social distancing wearing masks sanitising hands as covid 19 case,Jammu And Kashmir,"Jammu, Jammu & Kashmir, India"
Sat Nov 13 18:21:02 +0000 2021,"b'Facts, I totally do!! https://t.co/el3xk4WRXV'",facts i totally do,"Friendswood, TX","Friendswood, TX"
Sat Nov 13 18:22:09 +0000 2021,b'SHUT UPCAGGY https://t.co/XP3CIE7pWC',shut upcaggy,,"Ottawa, Ontario"
Sat Nov 13 18:22:54 +0000 2021,"b'When Youngkin takes office, rollbacks expected on Virginia\xe2\x80\x99s COVID-19 vaccine and mask mandates\nhttps://t.co/Ja98Ae0AYK'",when youngkin takes office rollbacks expected on virginia s covid 19 vaccine and mask mandates,"Virginia, USA","Virginia, USA"
Sat Nov 13 18:24:09 +0000 2021,b'@SarahDallaghan I have a feeling there might be a reintroduction to partial restrictions if the current trend continues. #COVID19',i have a feeling there might be a reintroduction to partial restrictions if the current trend continues,"Greystones, Ireland","Wicklow, Ireland"
Sat Nov 13 18:25:01 +0000 2021,b'@_SimphiweM44 Covid19 restrictions',covid19 restrictions,Pietermaritzburg,"Pietermaritzburg, South Africa"
Sat Nov 13 18:24:40 +0000 2021,b'Give yourself the gift of peace of mind. https://t.co/5etakBI7Mw',give yourself the gift of peace of mind,"Baton Rouge, Louisiana","Baton Rouge, LA"
Sat Nov 13 18:25:14 +0000 2021,b'Shhhhhh don\xe2\x80\x99t tell them. https://t.co/9CXFOuDYXT',shhhhhh don t tell them,,"Meridian, ID"
Sat Nov 13 18:25:21 +0000 2021,b'Technology is amazing. https://t.co/hsQ644gzw3',technology is amazing,"St Louis, MO","St Louis, MO"
Sat Nov 13 18:26:53 +0000 2021,b'Calling another Stanton TD now. https://t.co/2ifAVh6tRr',calling another stanton td now,Somewhere,"Cleveland, OH"
Sat Nov 13 18:27:17 +0000 2021,b'Thanks to @cvspharmacy at 325 Boston Post Road in Wayland for the #COVID19 booster shot this afternoon - and this c\xe2\x80\xa6 https://t.co/uHabOtd9od',thanks to at 325 boston post road in wayland for the booster shot this afternoon and this c,"Sudbury, Massachusetts",CVS pharmacy
Sat Nov 13 18:28:35 +0000 2021,b'I took the Covid-19 vaccine (Astrazeneca) 3 days ago at a primary healthcare centre in my community. https://t.co/XItXtDk9Bs',i took the covid 19 vaccine astrazeneca 3 days ago at a primary healthcare centre in my community,"Lagos, Accra, Nairobi, Harare,","Victoria Island, Nigeria"
Sat Nov 13 18:29:41 +0000 2021,b'How many times does Dr Thornley have to he publicly embarrassed by his colleagues for writing papers with easily di\xe2\x80\xa6 https://t.co/sGqbhpRXcg',how many times does dr thornley have to he publicly embarrassed by his colleagues for writing papers with easily di,Waikato New Zealand,"Waipa District, New Zealand"
Sat Nov 13 18:30:25 +0000 2021,"b'LOLLLL! The stupidity. It burns. \n\nThey\'re ""aFrAiD oF wHaT\'s iN iT"" but yet... ingesting horse paste and bathing in\xe2\x80\xa6 https://t.co/B4b3YrzJOO'",lollll the stupidity it burns theyre afraid of whats in it but yet ingesting horse paste and bathing in,"East Hartford, CT","East Hartford, CT"
Sat Nov 13 18:34:57 +0000 2021,b'True https://t.co/U1lIQoMPTv',true,"Johannesburg, South Africa","Johannesburg, South Africa"
Sat Nov 13 18:36:27 +0000 2021,b'They\xe2\x80\x99re finally catching up abroad to the horrors of how Mark Rutte governs the Netherlands https://t.co/SnmopyoK8s',they re finally catching up abroad to the horrors of how mark rutte governs the netherlands,"Leiden/Naarden, Nederland","Naarden, Nederland"
Sat Nov 13 18:36:26 +0000 2021,b'This #Thanksgiving I will be #Thankful that during the #pandemic I was one of the people who got #COVID19 and not o\xe2\x80\xa6 https://t.co/lqjr7PfCIA',this i will be that during the i was one of the people who got and not o,Venus,"Atascocita, TX"
Sat Nov 13 18:38:35 +0000 2021,"b'Thanks to my husband\xe2\x80\x99s hairdresser, we just discovered a great locally owned pharmacy in #ABQ, John\xe2\x80\x99s Pharmacy. We\xe2\x80\xa6 https://t.co/6uVI2Conuj'",thanks to my husband s hairdresser we just discovered a great locally owned pharmacy in john s pharmacy we,"Albuquerque, NM","Albuquerque, NM"
Sat Nov 13 18:38:48 +0000 2021,"b'This is a perfect example of Italian msm propaganda. ""The cases of infection with Covid-19 continue to go up. Exper\xe2\x80\xa6 https://t.co/G9jdVSxwIj'",this is a perfect example of italian msm propaganda the cases of infection with covid 19 continue to go up exper,"Milano, Lombardia","Milan, Lombardy"
Sat Nov 13 18:41:55 +0000 2021,b'Special thanks to The Nurses &amp; Midwives Hub led by @tracykob that joined me &amp; my colleague Mr. Andrew Kamau to cele\xe2\x80\xa6 https://t.co/ra8CMCy79K',special thanks to the nurses amp midwives hub led by that joined me amp my colleague mr andrew kamau to cele,"Kampala, Uganda","Kampala, Uganda"
