created_at,text,clean-text,location,place
Sat Nov 13 12:59:04 +0000 2021,"b'So after a week of thinking I had a very bad cold, I suddenly got a cough and lost my sense of taste and smell. Too\xe2\x80\xa6 https://t.co/AcPVYqb5Bu'",so after a week of thinking i had a very bad cold i suddenly got a cough and lost my sense of taste and smell too,"South East, England","South East, England"
Sat Nov 13 12:58:24 +0000 2021,b'.@DSMpartnership &amp; @MadisonCountyIA hosted @SenJoniErnst for tour of Angel Wings &amp; CT &amp; #smallbusiness roundtable d\xe2\x80\xa6 https://t.co/3rZJD9ng2v',amp hosted for tour of angel wings amp ct amp roundtable d,"Des Moines, Iowa  USA","Winterset, IA"
Sat Nov 13 12:57:35 +0000 2021,"b""Away from my anger at the lack of arrests of the clique of thieves, I'll cease fire and retweet this very important\xe2\x80\xa6 https://t.co/VgYQTZrPMJ""",away from my anger at the lack of arrests of the clique of thieves ill cease fire and retweet this very important,"Lusaka, Zambia.","Lusaka, Zambia"
Sat Nov 13 12:58:32 +0000 2021,b'The problem with withdrawn studies like this is that the people who believe what they heard never learn the truth.\xe2\x80\xa6 https://t.co/1HbdYOEvbl',the problem with withdrawn studies like this is that the people who believe what they heard never learn the truth,OnMyGrandchildren's🌏planet ,"Durham, NC"
Sat Nov 13 12:59:47 +0000 2021,"b'Always late to the party, today I tested positive for #COVID19. This is not over.\n\nHelp slow the spread and identif\xe2\x80\xa6 https://t.co/3RiUQUTHkf'",always late to the party today i tested positive for this is not over help slow the spread and identif,Warrenpoint / Islington,"Islington, London"
Sat Nov 13 12:59:35 +0000 2021,b'@NewsHourExtra @PeterHotez @NewsHour @saribethrose @sharemylesson @LostToCovid @CovidEducators @CCOR_C19Monitor\xe2\x80\xa6 https://t.co/lGSYO3tNis',,Lodi CA USA,"Lodi, CA"
Sat Nov 13 13:00:00 +0000 2021,b'\xf0\x9f\x93\x8c\xf0\x9f\x97\xa3 Louder Please!! https://t.co/jcNvjcaLLx',louder please,"Mafikeng, South Africa","Mafikeng, South Africa"
Sat Nov 13 13:02:14 +0000 2021,b'Grateful to finally get the COVID-19 booster  #vaccinated #levelup https://t.co/8PENSOxDAB',grateful to finally get the covid 19 booster,"London, England",Citywest Vaccination Centre (CVC)
Sat Nov 13 13:02:25 +0000 2021,b'This video is well done. https://t.co/jNg2fqO3ja',this video is well done,"Maryville, TN","Maryville, TN"
Sat Nov 13 13:04:59 +0000 2021,b'Last night was rough. The side effects of the #ModernaBooster hit me about 1 and stuck with me all night. Aches chi\xe2\x80\xa6 https://t.co/0FdBd3DMN0',last night was rough the side effects of the hit me about 1 and stuck with me all night aches chi,"Madison, WI","Wisconsin, USA"
Sat Nov 13 13:09:36 +0000 2021,b'OSHA guidelines regarding COVID19',osha guidelines regarding covid19,,"Philadelphia, PA"
Sat Nov 13 13:11:07 +0000 2021,"b""Okay, Virginia &amp; Maryland aren't playing games! But gonna need DC to start doing better. \xf0\x9f\x99\x84 #COVID19 #vaccination https://t.co/16GeHXizrC""",okay virginia amp maryland arent playing games but gonna need dc to start doing better,"Washington, DC","Washington, DC"
Sat Nov 13 13:11:49 +0000 2021,b'@JoanneSoave I\xe2\x80\x99d rather have a brain tickle than give a plane full of people #COVID19 &amp; I\xe2\x80\x99ll tell ya that for free!\xe2\x80\xa6 https://t.co/sy752drl8X',i d rather have a brain tickle than give a plane full of people amp i ll tell ya that for free,"Windsor/Waterloo, Ontario","Windsor, Ontario"
Sat Nov 13 13:13:18 +0000 2021,b'Great stuff. https://t.co/s3IYZNTlR0',great stuff,"Chicago, IL","Northfield, IL"
Sat Nov 13 13:14:41 +0000 2021,"b'""Here are the most common side effects for kids after each dose of Pfizer\'s COVID-19 vaccine""  https://t.co/1iHCkCEtri'",here are the most common side effects for kids after each dose of pfizers covid 19 vaccine,The Jersey Cape ,"Manhattan, NY"
Sat Nov 13 13:14:17 +0000 2021,b'Today\xe2\x80\x99s walk-up vaccination &amp; testing sites.\n\nPediatric vaccine supply is limited but is expected to increase in th\xe2\x80\xa6 https://t.co/DVsY0BmyrT',today s walk up vaccination amp testing sites pediatric vaccine supply is limited but is expected to increase in th,"Washington, DC","Washington, DC"
Sat Nov 13 13:14:48 +0000 2021,"b'""Here are the most common side effects for kids after each dose of Pfizer\'s COVID-19 vaccine""  https://t.co/VD6coeZUe2'",here are the most common side effects for kids after each dose of pfizers covid 19 vaccine,The Jersey Cape,"Manhattan, NY"
Sat Nov 13 13:18:03 +0000 2021,"b'Coronavirus: 4,642 new cases confirmed in Ireland https://t.co/L0PrjREdtP'",coronavirus 4 642 new cases confirmed in ireland,"Galway, Ireland","Galway, Ireland"
Sat Nov 13 13:19:40 +0000 2021,b'So proud of @EthiopianNomad for her latest OpEd about #vaccine \xe2\x80\x9csurvivor\xe2\x80\x99s guilt\xe2\x80\x9d for the African diaspora. Her yea\xe2\x80\xa6 https://t.co/ibdYFnlxAr',so proud of for her latest oped about survivor s guilt for the african diaspora her yea,"Washington, DC","Washington, DC"
Sat Nov 13 13:18:21 +0000 2021,b'#Boosted #Pfizervaccine Feeling Grateful to @WexGenHosp @HSELive had my booster vaccine today; 20 months on and sti\xe2\x80\xa6 https://t.co/RmP0jdRfDZ',feeling grateful to had my booster vaccine today 20 months on and sti,Ireland,"Wexford, Ireland"
Sat Nov 13 13:20:57 +0000 2021,"b'Quebec:\n\n A preview of what happened in long-term care facilities. This summer, I interviewed many healthcare worke\xe2\x80\xa6 https://t.co/4Lgm7QrphV'",quebec a preview of what happened in long term care facilities this summer i interviewed many healthcare worke,"Québec, Canada","Québec, Canada"
Sat Nov 13 13:21:32 +0000 2021,"b'Covid-19 Skeptics, Publisher Sue Sen. Elizabeth Warren https://t.co/pOZvVmuoXR via @publisherswkly'",covid 19 skeptics publisher sue sen elizabeth warren via,"Detroit, MI","River Forest, IL"
Sat Nov 13 13:20:12 +0000 2021,b'Truth in back and white... https://t.co/03MzdAwNpv',truth in back and white,,"Monterrey, Nuevo León"
Sat Nov 13 13:20:20 +0000 2021,b'@DillonMThomas @GovofCO @jaredpolis @CBSDenver And I\xe2\x80\x99ll likely survive easily again.  With the #COVID19 #vaccine there\xe2\x80\x99s a chance I won\xe2\x80\x99t.',and i ll likely survive easily again with the there s a chance i won t,Chiefland FL,"Florida, USA"
Sat Nov 13 13:22:19 +0000 2021,"b'Dr. Gary H. Gibbons, Director @nih_nhlbi kicks off #AHA21 @AHAMeetings with a lecture on how concerted scientific e\xe2\x80\xa6 https://t.co/8FXpCk6k3E'",dr gary h gibbons director kicks off with a lecture on how concerted scientific e,"Tulsa, OK","Tulsa, OK"
Sat Nov 13 13:22:50 +0000 2021,b'The vaccinated are doing a fine job of spreading #Covid19 https://t.co/KCkIvmHKtQ',the vaccinated are doing a fine job of spreading,Below George Carlin,"Burlington, Ontario"
Sat Nov 13 13:23:42 +0000 2021,b'Works so well you need a bonus booster maybe 2. Nice animation though https://t.co/Yc8T5gG80j',works so well you need a bonus booster maybe 2 nice animation though,,"Hamilton, Ontario"
Sat Nov 13 13:27:31 +0000 2021,b'Good decision https://t.co/tKGbo3Qd3b',good decision,Berlin,"Berlin, Germany"
Sat Nov 13 13:28:01 +0000 2021,b'This is just a marvelous piece of science. Science for human health at its best! Congratulations to all researchers\xe2\x80\xa6 https://t.co/35dsM8gLeo',this is just a marvelous piece of science science for human health at its best congratulations to all researchers,"Zurich, Switzerland","Livorno, Tuscany"
Sat Nov 13 13:30:03 +0000 2021,"b'At 8:12a CST today, @EversightVision Medical Director Shahzad I. Mian, MD, presents \xe2\x80\x9cTransmission of Coronavirus vi\xe2\x80\xa6 https://t.co/gPuaOyMX2Y'",at 8 12a cst today medical director shahzad i mian md presents transmission of coronavirus vi,"Ann Arbor, MI","New Orleans, LA"
Sat Nov 13 13:31:25 +0000 2021,b'Thanks @Econdixon and @EconObservatory https://t.co/7SSoD4FbYm',thanks and,"Cardiff, Wales","Cardiff, Wales"
Sat Nov 13 13:32:25 +0000 2021,b'22 more coronavirus related deaths confirmed #LKA #SriLanka',22 more coronavirus related deaths confirmed,Sri Lanka,Sri Lanka
Sat Nov 13 13:32:02 +0000 2021,"b'I don\xe2\x80\x99t know who needs to hear this, but you can get your COVID-19 booster at the same time as your flu shot, and you really should. \xf0\x9f\xa6\xa0\xf0\x9f\xa4\xa7 \xf0\x9f\x92\x89'",i don t know who needs to hear this but you can get your covid 19 booster at the same time as your flu shot and you really should,"San Diego, CA","Tupelo, MS"
Sat Nov 13 13:31:46 +0000 2021,b'@monterogabriela I was wandering the same thing.. #COVID19',i was wandering the same thing,Caracas Venezuela,"Chacao, Venezuela"
