id,location
67606189,"Ann Arbor, Michigan"
43700198,"Hammonds Plains, N.S., Canada"
2341044211,Deep in the Heart of Texas
3138584483,"Ontario, Canada"
1283072785326256129,Bathgate Scotland
211326863,Santo Domingo
1082671087522103296,"New Hampshire, USA"
1260612927394021376,"Florida, USA"
2328588829,"Antipolo City, Calabarzon"
246961837,"Sacramento, CA"
1279160066936049666,"Montréal, Québec"
247516304,USA
79866731,NY
1182876289662771202,"Arizona, USA"
1435396839742885891,Earth
2425544252,Eagle Mtn Lake
844932007075500034,"Beverly1, Chicago"
48065747,USA
747953693501300736,"New York, USA"
1369918828667236352,Straya - QLD
970313449392582658,Earth
983658091874054144,"England, United Kingdom"
1182563031055818752,"Providence, RI"
1098604807106056192,"London, Ontario"
2523313824,Indian Territory
211613859,Minors DNI
1245569113444855812,"New York, NY"
245750555,Canada
172748155,"Washington, DC"
8619542,Sydney
247621434,San Francisco
859435242108727296,"Altoona, PA"
1888091312,New York.  Virginia.
825103325766971392,USA
3070345676,She/They
57895546,Stockholm
929715517,"Portland, OR"
768993129861001216,Night Vale
2338214224,New Jersey
1244816703676006402,Hong Kong
900910496,"she/her, 27"
17563863,"Marin County, CA"
439321373,"Stockholm,  Warszawa"
1323458480351502341,"Mortlake, Victoria"
707371027269947392,"Shinjuku-ku, Tokyo"
1372305154263949313,"Green Bay, WI"
604693914,"Hartford, CT"
1116074999440465920,United States
2331002132,"Illinois, USA"
44816659,Los Angeles CA
27428425,Somewhere across the Pacific
711307362603106304,Costa Rica
308321267,Oz & Worldwide Walkabout
1401861298233647106,"Victoria, Australia"
2264017980,"Indianapolis, IN"
930105379,"Rockland, MA"
788797380187525120,"In my mind, mostly."
471439163,"Sugar Land, Tx"
330826792,Philippines
2338214224,New Jersey
1049680455627366400,People’s Republic of Illinois
2400854155,"Melbourne, Victoria"
1338944962734526467,Varies
58685992,alt twitter @Joelb02540392
50748187,"Brampton, Ontario"
4911743399,New York
1134746515,IN-OH-KS-DC/NOVA-MO-AZ
936032961232809985,"San Antonio, Texas"
1352024609839841285,lyrics
318476748,"San Diego, CA"
1009668884935335936,"Long An, Việt Nam"
1296279134079823872,"San Francisco, CA"
877629044828667905,"Seattle, WA"
718456229727772672,"London, England"
618352196,"Illinois, USA"
118407804,"Chennai, India"
425981480,Park City Utah
1420049144849190918,"—— #박성훈 ♡ — forelsket (n) : the feeling of euphoria when falling in love for the first time.

she:her ( 61+ ) syd
‧₊˚  07

heehoonjay | slow at dms"
69177316,MeWe: Kyla Dillard
31422641,Toronto
1347189715284455427,"Pompano Beach, FL"
1148700407968849920,Northern California
1334506735403479040,Paris
25117028,"Windsor, ON & Roseville, MI"
1092184992841637888,he/him
23909902,T Dot / The 6ix / Why Why Zed
161016521,"Michigan, USA"
1137730309296812038,"กรุงเทพมหานคร, ประเทศไทย"
1260612927394021376,"Florida, USA"
3177941678,The Great Northwest
2375472157,Canada
16977860,Northern California
134456613,"Texas, USA"
1047855933613924352,The Matrix
1286349246258585600,"Santa Fe, NM"
37034483,India
983658091874054144,"England, United Kingdom"
351922005,2119 South Wallace. 
1032277789565755393,"Winnipeg, Manitoba"
338864187,Goulburn
1539751926,"Alberta, Canada, Treaty 7"
15997135,"Guam, USA"
1381673359172378624,Ligma Nutz
1284259268,Regents Park London England
23837242,NYC
2946450412,USA
531945893,Sydney
2972880872,None of your business
